planning_unit,policy,reorder_point,order_quantity,safety_stock,days,units_demanded,units_shipped,units_lost,stockout_days,orders_placed,cycles,cycles_with_stockout,mean_on_hand,holding_cost,ordering_cost,total_cost,fill_rate,stockout_day_rate,realised_cycle_service_level
Team Golf Texas Longhorns Putter Grip,demand_only,8.666649224941253,209.7854965863179,4.755521640456206,250,102.0,102.0,0.0,0,1,1,0,151.32209095101123,420.8904729007018,250.0,670.8904729007018,1.0,0.0,1.0
Team Golf Texas Longhorns Putter Grip,flat_baseline,5.8666913767275695,209.7854965863179,1.9555637922425233,250,102.0,101.75943966988652,0.24056033011348177,1,1,1,1,148.7059211950043,413.6138028595064,250.0,663.6138028595064,0.9976415653910443,0.004,0.0
Team Golf San Francisco Giants Putter Grip,segmented,8.692904323091021,204.08618274752877,4.991399937774425,250,128.0,128.0,0.0,0,1,1,0,138.6872182399279,385.7475699908441,250.0,635.7475699908441,1.0,0.0,1.0
Team Golf San Francisco Giants Putter Grip,demand_only,8.399859870151428,204.08618274752877,4.698355484834833,250,128.0,128.0,0.0,0,1,1,0,138.39417378698826,384.9324899347629,250.0,634.9324899347629,1.0,0.0,1.0
Team Golf San Francisco Giants Putter Grip,flat_baseline,5.552256577974893,204.08618274752877,1.8507521926582977,250,128.0,128.0,0.0,0,1,1,0,135.5465704948117,377.01210574799006,250.0,627.0121057479901,1.0,0.0,1.0
Bag Boy Beverage Holder,segmented,9.233562312189978,208.74731525763085,5.361049527551751,250,87.0,87.0,0.0,0,1,1,0,160.7634802279502,447.1509532617413,250.0,697.1509532617413,1.0,0.0,1.0
Bag Boy Beverage Holder,demand_only,8.935406368320576,208.74731525763085,5.062893583682349,250,87.0,87.0,0.0,0,1,1,0,160.4653242840808,446.3216559963871,250.0,696.3216559963871,1.0,0.0,1.0
Bag Boy Beverage Holder,flat_baseline,5.80876917695734,208.74731525763085,1.9362563923191134,250,87.0,87.0,0.0,0,1,1,0,157.33868709271755,437.62516100486715,250.0,687.6251610048671,1.0,0.0,1.0
Glove It Women's Mod Oval 3-Zip Carry All Gol,segmented,9.4999251600479,231.23707066303862,5.318493976635113,250,101.0,101.0,0.0,0,1,1,0,168.32135823834642,411.96940219447976,250.0,661.9694021944797,1.0,0.0,1.0
Glove It Women's Mod Oval 3-Zip Carry All Gol,demand_only,9.147594979586042,231.23707066303862,4.966163796173257,250,101.0,101.0,0.0,0,1,1,0,167.96902805788454,411.1070680537677,250.0,661.1070680537678,1.0,0.0,1.0
Glove It Women's Mod Oval 3-Zip Carry All Gol,flat_baseline,6.272146775119179,231.23707066303862,2.090715591706393,250,101.0,101.0,0.0,0,1,1,0,165.09357985341765,404.06935940981765,250.0,654.0693594098177,1.0,0.0,1.0
